user_id,signup_date,loyalty_status,age,city,avg_rating_given,churn_prob,referred_by
R00000,2025-01-24,Bronze,34.72962934795992,Nairobi,5.0,0.14243059682337855,R00001
R00001,2024-09-09,Bronze,34.57102046351952,Nairobi,4.7,0.6741608467591605,
R00002,2024-09-07,Bronze,47.1339597032023,Lagos,4.2,0.5103793329192093,
R00003,2025-03-17,Bronze,41.6586284419388,Nairobi,4.9,0.24477927878466166,
R00004,2024-08-20,Silver,40.681708782420145,Lagos,3.9,0.2699597126742522,R00002
R00005,2023-07-10,Bronze,40.41915203474623,Lagos,5.0,0.32745208958371474,
R00006,2023-08-17,Gold,44.00528102999667,Lagos,4.4,0.12045221749070094,R00000
R00007,2023-05-13,Bronze,27.241087378707377,Nairobi,4.9,0.2842457607909989,
R00008,2025-04-02,Bronze,29.560167817073193,Nairobi,5.0,0.03987869574135941,R00007
R00009,2023-07-01,Bronze,23.95051476227571,Lagos,4.6,0.2248721592852733,
R00010,2024-04-30,Bronze,40.76849512576241,Nairobi,4.3,0.18922353871566805,
R00011,2025-04-15,Gold,36.61582193099215,Cairo,4.0,0.23666676826784305,R00008
R00012,2023-10-28,Gold,37.72034837887733,Cairo,4.6,0.05711718717671641,
R00013,2023-07-02,Bronze,39.72877065914783,Cairo,4.2,0.17375351852989382,
R00014,2023-09-03,Bronze,44.55063732406345,Nairobi,5.0,0.28761838600026146,
R00015,2025-01-15,Gold,18.0,Nairobi,5.0,0.3570941783944128,R00014
R00016,2024-05-04,Gold,32.22729534551255,Nairobi,3.9,0.04904312328642075,R00013
R00017,2023-05-02,Gold,25.253911415422365,Lagos,4.2,0.425521365571281,
R00018,2025-04-19,Gold,51.02851520589413,Nairobi,4.4,0.17049617069512632,
R00019,2025-02-27,Bronze,33.912680597238285,Lagos,4.5,0.3327413627536465,
R00020,2023-07-19,Bronze,18.0,Cairo,4.9,0.24703900893118166,R00001
R00021,2024-08-14,Bronze,43.13473170517476,Cairo,4.9,0.21949343836315932,
